"행","열","값"
" 2","C","1.00912719912556"
" 2","D","1.10617373191567"
" 2","F","0.0970465327901066"
" 3","C","1.03523255182974"
" 3","D","1.10925877728008"
" 3","F","0.0740262254503384"
" 4","D","1.00130380437283"
" 4","E","0.000228527808340724"
" 4","G","0.00107527656449065"
" 5","D","3.73420353747022"
" 5","E","0.702910435638988"
" 5","G","0.0312931018312293"
" 6","D","1.86410605125913"
" 6","E","0.540026208109751"
" 6","F","0.324079843149376"
" 7","D","3.11944100801153"
" 7","E","0.437382894130305"
" 7","F","0.682058113881228"
" 8","D","1.15276766628811"
" 8","E","0.0919935765252395"
" 8","F","0.0607740897628741"
" 9","C","1.0536403856303"
" 9","D","6.19833062182605"
" 9","E","0.144690236195753"
"10","C","1.32386604980998"
"10","D","30.5014114527776"
"10","E","4.17754540296765"
"11","C","1.02816258834696"
"11","D","1.10335352921992"
"11","E","0.0751909408729595"
"12","J","차대차"
"12","K","측면직각충돌"
"12","L","안전운전 의무 불이행"
"13","J","차량단독"
"13","K","전도전복"
"13","L","안전운전 의무 불이행"
"14","J","차대차"
"14","K","추돌"
"14","L","안전운전 의무 불이행"
"15","J","차대사람"
"15","K","횡단중"
"15","L","안전운전 의무 불이행"
"16","J","차대차"
"16","K","추돌"
"16","L","안전운전 의무 불이행"
"17","J","차대사람"
"17","K","횡단중"
"17","L","안전운전 의무 불이행"
"18","J","차대차"
"18","K","측면직각충돌"
"18","L","신호위반"
"19","J","차대사람"
"19","K","횡단중"
"19","L","안전운전 의무 불이행"
"20","J","차대차"
"20","K","추돌"
"20","L","안전운전 의무 불이행"
"21","J","차대사람"
"21","K","횡단중"
"21","L","안전운전 의무 불이행"
"22","M","단일로"
"22","N","기타단일로"
"22","O","승용차"
"23","M","단일로"
"23","N","기타단일로"
"23","O","화물차"
"24","M","단일로"
"24","N","기타단일로"
"24","O","승용차"
"25","M","교차로"
"25","N","기타단일로"
"25","P","승용차"
"26","M","단일로"
"26","N","기타단일로"
"26","P","없음"
"27","M","단일로"
"27","N","기타단일로"
"27","P","보행자"
"28","M","단일로"
"28","N","기타단일로"
"28","O","승용차"
"28","P","화물차"
"29","M","단일로"
"29","N","기타단일로"
"29","O","승용차"
"29","P","승용차"
"30","M","단일로"
"30","N","기타단일로"
"30","O","승용차"
"30","P","없음"
"31","M","단일로"
"31","N","기타단일로"
"31","O","화물차"
"31","P","화물차"
"32","C","0.991964629087472"
"32","D","0.991964629087472"
"32","I","서구"
"33","C","1.09592976169668"
"33","D","4.09592976169668"
"33","I","고성군"
"34","E","0.458299851260623"
"34","F","0.868508489531361"
"34","I","남양주시"
"35","E","2.84274151989605"
"35","F","4.7232647332507"
"35","I","논산시"
"36","E","2.4383332887713"
"36","F","2.31050536777771"
"36","I","강릉시"
"37","H","경북"
"37","I","구미시"
"38","H","경남"
"38","I","강릉시"
"39","H","경북"
"39","I","군위군"
"40","H","인천"
"40","I","동구"
"41","H","경북"
"41","I","경산시"
"42","B","월"
"42","J","차대차"
"42","K","측면직각충돌"
"43","B","토"
"43","J","차대차"
"43","K","추돌"
"44","B","화"
"44","K","측면직각충돌"
"44","L","안전운전 의무 불이행"
"44","M","교차로"
"45","B","목"
"45","K","전도전복"
"45","L","안전운전 의무 불이행"
"45","M","단일로"
"46","B","토"
"46","K","횡단중"
"46","L","안전운전 의무 불이행"
"46","M","단일로"
"47","A","주간"
"47","C","1.00073450133543"
"47","D","1.00073450133543"
"47","O","화물차"
"48","A","야간"
"48","C","1.0475253523131"
"48","D","3.0475253523131"
"48","O","승용차"
"49","A","주간"
"49","D","1.00024520475522"
"49","E","0.000245204755223073"
"49","N","교차로내"
"50","A","주간"
"50","D","16.5072042676403"
"50","E","4.50720426764034"
"50","N","기타단일로"
"51","A","주간"
"51","D","1.01938588305809"
"51","E","0.0193858830580893"
"51","N","교차로내"
